variante,speedup_geral_mean,speedup_geral_median
Escalar,1.0000,1.0000
AVX256,1.2165,1.2118
AVX512,1.1461,1.1323
AVX512_v2,1.2085,1.2057
AVX512_v3,1.1978,1.1990
AVX512_v4,1.1275,1.1266
OpenMP_v1,1.0025,0.9999
OpenMP_v2,0.1347,0.1338
OpenMP_v3,0.9064,0.9027
